College,Num_Alumni
Stanford University,31
Harvard University,25
University of Pennsylvania,25
Yale University,13
"University of California, Berkeley",12
University of Southern California,10
Massachusetts Institute of Technology,10
New York University,10
Michigan State University,8
University of Michigan,7
Southern Methodist University,7
"University of California, Los Angeles",7
Brown University,7
Columbia University,7
Cornell University,6
Princeton University,6
"University of Illinois, Urbana-Champaign",5
University of Chicago,5
Duke University,5
University of Washington,5
Northwestern University,5
University of Denver,4
Indiana University,4
University of Arizona,4
Temple University,4
Dartmouth College,4
The University of Texas at Austin,4
Brigham Young University,4
"University of California, San Diego",3
San Francisco State University,3
Rice University,3
Tufts University,3
University of Michigan at Ann Arbor,3
University of Miami,3
University of Arkansas,3
Skidmore College,3
Georgetown University,3
Johns Hopkins University,3
George Washington University,3
Brandeis University,2
University of Kansas,2
California Institute of Technology,2
Oregon State University,2
University of Florida,2
University of Maryland,2
"University of Maryland, College Park",2
Bucknell University,2
Middlebury College,2
Purdue University,2
Bowdoin College,2
Rhode Island School of Design,2
Rutgers University,2
University of Missouri,2
Amherst College,2
San Jose State University,2
University of Central Arkansas,2
Baylor University,2
Babson College,2
Stetson University,2
Auburn University,2
Tulane University,2
Trinity University,2
Miami University of Ohio,2
Lehigh University,2
Villanova University,2
University of Virginia,2
Florida Southern College,2
University of Nebraska Lincoln,2
Harvard College,2
Haverford College,2
Central Missouri State University,2
University of Tennessee Knoxville,2
Kalamazoo College,2
University of Oklahoma,2
Fordham University,2
Trinity College Connecticut,2
University of Northern Colorado,2
Claremont McKenna College,2
Vanderbilt University,2
Vassar College,1
University of Texas at Austin,1
University of Central Oklahoma,1
Utah Valley University,1
Trinity University of San Antonio,1
"University of California, Santa Barbara",1
University of Texas Arlington,1
University of Utah,1
Wichita State University,1
University of Vermont,1
Williams College,1
United States Military Academy,1
University of Baltimore,1
Wofford College,1
Western Kentucky University,1
Washington University in St. Louis,1
Western State University,1
University of Massachusetts,1
Western Michigan University,1
University of Minnesota,1
University of New Orleans,1
"University of Michigan, Ann Arbor",1
"University of North Carolina, Chapel Hill",1
University of Wisconsin,1
Western State College of Colorado,1
University of Memphis,1
West Virginia University,1
University of Southern Mississippi,1
University of Oregon,1
Wayne State University,1
University of Illinois Urbana Champaign,1
University of Pittsburgh,1
University of Rochester,1
University of Detroit Mercy,1
University of San Diego,1
University of Cincinnati,1
University of Wisconsin Madison,1
Adelphi University,1
The University of Chicago,1
Georgia Institute of Technology,1
Drury University,1
Duke Univeristy,1
East Carolina University,1
Embry-Riddle Aeronautical University,1
Emory University,1
Franklin Pierce University,1
Georgia Southern University,1
Texas Tech University,1
Georgia Tech,1
Goucher College,1
Hamilton College,1
Hobart and William Smith,1
Humboldt State University,1
Lake Forest College,1
DePauw University,1
Columbia College,1
Colorado College,1
College of the Holy Cross,1
Clark University,1
City University of New York City College,1
City University of New York Brooklyn College,1
City College of New York,1
Chicago State University,1
Carnegie Mellon University,1
California State Los Angeles,1
California State Fullerton,1
Bryn Mawr College,1
Boston University,1
Beloit College,1
Bard College,1
Art Center College of Design,1
Long Island University,1
Loyola University Chicago,1
Manhattanville College,1
Samford University,1
Texas A&M University,1
Tennessee Technological University,1
Tennessee State University,1
Syracuse University,1
St. Louis University,1
St. John Fisher College,1
Southern Illinois University,1
Southeastern Louisiana University,1
Seton Hall University,1
Sarah Lawrence College,1
Santa Rosa Junior College,1
Santa Clara University,1
San Francisco State,1
San Diego State University,1
Rice University; Rice University,1
Marquette University,1
Rensselaer Polytechnic Institute,1
Reed College,1
Pepperdine University,1
Pennsylvania State University,1
Oklahoma State University,1
Ohio State University,1
Ohio Northern University,1
Oakland University,1
Northern Michigan University,1
North Carolina State University,1
Montana State University,1
Minnesota State University,1
Middle Tennessee State University,1
Menlo College,1
San Francisco Conservatory of Music,1
